idCategory,name,description
1,CATEGORIAS DE PRODUCTOS,Texto random
2,SISTEMAS DEL CUERPO,Texto random
3,TEMAS DE SALUD,Texto random
4,ACEITES ESENCIALES Y VEGETALES,Texto random
5,ANTIOXIDANTES,Texto random
6,APOYO ESTADO ANIMICO,Texto random
7,CELULAR,Texto random
8,CIRCULATORIO,Texto random
9,CONTROL DE PESO,Texto random
10,CORAZON SALUDABLE / COLESTEROL,Texto random
11,COSMETICA NATURAL,Texto random
12,DEPORTE,Texto random
13,DESINTOXICACIN,Texto random
14,DIGESTION,Texto random
15,DIGESTIVO,Texto random
16,ENERGIA Y CONDICION FISICA,Texto random
17,ESTRUCTURAL,Texto random
18,HEPATICO,Texto random
19,HUESOS / ARTICULACIONES,Texto random
20,INMUNOLOGICO,Texto random
21,INTESTINAL,Texto random
22,NERVIOSO,Texto random
23,RESPIRATORIO,Texto random
24,SALUD DEL CEREBRO Y MEMORIA,Texto random
25,SUPLEMENTOS ALIMENTICIOS,Texto random
26,URINARIO,Texto random
